date,tactic,state,campaign,impressions,clicks,spend,attributed_revenue
2024-01-01,Video,CA,Brand_Awareness,45000,2250,1200,3600
2024-01-01,Image,NY,Lead_Generation,32000,1600,800,2400
2024-01-01,Carousel,TX,Sales_Campaign,28000,1400,600,1800
2024-01-02,Video,CA,Brand_Awareness,48000,2400,1300,3900
2024-01-02,Image,NY,Lead_Generation,35000,1750,850,2550
2024-01-02,Carousel,TX,Sales_Campaign,30000,1500,650,1950
2024-01-03,Video,CA,Brand_Awareness,42000,2100,1100,3300
2024-01-03,Image,NY,Lead_Generation,31000,1550,750,2250
2024-01-03,Carousel,TX,Sales_Campaign,27000,1350,580,1740
2024-01-04,Video,CA,Brand_Awareness,46000,2300,1250,3750
2024-01-04,Image,NY,Lead_Generation,33000,1650,820,2460
2024-01-04,Carousel,TX,Sales_Campaign,29000,1450,620,1860
2024-01-05,Video,CA,Brand_Awareness,50000,2500,1400,4200
2024-01-05,Image,NY,Lead_Generation,36000,1800,900,2700
2024-01-05,Carousel,TX,Sales_Campaign,31000,1550,680,2040
2024-01-06,Video,CA,Brand_Awareness,44000,2200,1150,3450
2024-01-06,Image,NY,Lead_Generation,30000,1500,780,2340
2024-01-06,Carousel,TX,Sales_Campaign,26000,1300,560,1680
2024-01-07,Video,CA,Brand_Awareness,47000,2350,1300,3900
2024-01-07,Image,NY,Lead_Generation,34000,1700,860,2580
2024-01-07,Carousel,TX,Sales_Campaign,28000,1400,600,1800
2024-01-08,Video,CA,Brand_Awareness,49000,2450,1350,4050
2024-01-08,Image,NY,Lead_Generation,35000,1750,880,2640
2024-01-08,Carousel,TX,Sales_Campaign,30000,1500,650,1950
2024-01-09,Video,CA,Brand_Awareness,43000,2150,1180,3540
2024-01-09,Image,NY,Lead_Generation,32000,1600,800,2400
2024-01-09,Carousel,TX,Sales_Campaign,27000,1350,590,1770
2024-01-10,Video,CA,Brand_Awareness,51000,2550,1450,4350
2024-01-10,Image,NY,Lead_Generation,37000,1850,920,2760
2024-01-10,Carousel,TX,Sales_Campaign,32000,1600,700,2100
