date,tactic,state,campaign,impressions,clicks,spend,attributed_revenue
2024-01-01,Search,CA,Brand_Keywords,25000,2500,1500,4500
2024-01-01,Display,NY,Remarketing,18000,900,600,1800
2024-01-01,Shopping,TX,Product_Ads,22000,1100,800,2400
2024-01-02,Search,CA,Brand_Keywords,27000,2700,1600,4800
2024-01-02,Display,NY,Remarketing,19000,950,650,1950
2024-01-02,Shopping,TX,Product_Ads,24000,1200,850,2550
2024-01-03,Search,CA,Brand_Keywords,23000,2300,1400,4200
2024-01-03,Display,NY,Remarketing,17000,850,580,1740
2024-01-03,Shopping,TX,Product_Ads,21000,1050,750,2250
2024-01-04,Search,CA,Brand_Keywords,26000,2600,1550,4650
2024-01-04,Display,NY,Remarketing,20000,1000,670,2010
2024-01-04,Shopping,TX,Product_Ads,23000,1150,820,2460
2024-01-05,Search,CA,Brand_Keywords,28000,2800,1700,5100
2024-01-05,Display,NY,Remarketing,21000,1050,720,2160
2024-01-05,Shopping,TX,Product_Ads,25000,1250,900,2700
2024-01-06,Search,CA,Brand_Keywords,24000,2400,1450,4350
2024-01-06,Display,NY,Remarketing,18000,900,620,1860
2024-01-06,Shopping,TX,Product_Ads,22000,1100,780,2340
2024-01-07,Search,CA,Brand_Keywords,29000,2900,1750,5250
2024-01-07,Display,NY,Remarketing,22000,1100,740,2220
2024-01-07,Shopping,TX,Product_Ads,26000,1300,920,2760
2024-01-08,Search,CA,Brand_Keywords,31000,3100,1850,5550
2024-01-08,Display,NY,Remarketing,23000,1150,780,2340
2024-01-08,Shopping,TX,Product_Ads,27000,1350,960,2880
2024-01-09,Search,CA,Brand_Keywords,25000,2500,1520,4560
2024-01-09,Display,NY,Remarketing,19000,950,660,1980
2024-01-09,Shopping,TX,Product_Ads,23000,1150,840,2520
2024-01-10,Search,CA,Brand_Keywords,32000,3200,1950,5850
2024-01-10,Display,NY,Remarketing,24000,1200,800,2400
2024-01-10,Shopping,TX,Product_Ads,28000,1400,1000,3000
